"Story","Title","Result","Date","Stability","Duration (s)"
"login","user bisa login menggunakan data valid","SUCCESS","2023-05-09T22:18:04.029186+07:00[Asia/Jakarta]","0.0","17.03"
"login","user tidak bisa login karena menggunakan password yang salah","SUCCESS","2023-05-09T22:18:21.0822901+07:00[Asia/Jakarta]","0.0","17.9"
"login","user tidak bisa login karena menggunakan email yang salah","SUCCESS","2023-05-09T22:18:39.0010536+07:00[Asia/Jakarta]","0.0","17.24"
"login","user tidak bisa login karena tidak menginput email di field email","SUCCESS","2023-05-09T22:18:56.2606526+07:00[Asia/Jakarta]","0.0","15.88"
"login","user tidak bisa login karena tidak menginput password di field password","ERROR","2023-05-09T22:19:12.1638956+07:00[Asia/Jakarta]","0.0","29.97"
"Register","user tidak dapat register karena menggunakan email yang sudah terdaftar","ERROR","2023-05-09T22:19:42.2822162+07:00[Asia/Jakarta]","0.0","19.23"
"Register","user tidak dapat register karena tidak mengisi field nama lengkap","ERROR","2023-05-09T22:20:01.5302661+07:00[Asia/Jakarta]","0.0","26.59"
"Register","user tidak dapat register karena tidak mengisi field nama email","SUCCESS","2023-05-09T22:20:28.1345282+07:00[Asia/Jakarta]","0.0","17.97"
"Register","user tidak dapat register karena tidak mengisi field password","SUCCESS","2023-05-09T22:20:46.1235937+07:00[Asia/Jakarta]","0.0","19.54"
"Register","user dapat register karena semua field terisi dan data yang valid","SUCCESS","2023-05-09T22:21:05.67886+07:00[Asia/Jakarta]","0.0","21.32"
"Logout","user dapat melakukan proses logout","SUCCESS","2023-05-09T22:21:27.0233074+07:00[Asia/Jakarta]","0.0","16.8"
